,Index Family,Name,BBG Ticker,RIC,Industry,Country,Region,Market,Event,Est. Passive Flows (USDmm),Est. Shares (mm),Total EDT
0,Small Cap,AMERCO Series N Non-Voting,UHAL/B US,UHAL.N,Consumer Discretionary,USA,Americas,DM,Deletion(SC),(22.0),(0.4),2.2
1,Small Cap,Zeda Ltd,ZZD SJ,ZZDJ.J,Consumer Discretionary,South Africa,EMEA,EM,Deletion(SC),(3.3),(6.1),4.3
2,Small Cap,Vitesse Energy Inc,VTS US,VTS.N,Energy,USA,Americas,DM,Deletion(SC),(2.2),(0.1),0.5
3,Small Cap,Omni AB Inc,OABI US,OABI.OQ,Health Care,USA,Americas,DM,Deletion(SC),(1.3),(0.4),0.7
4,Small Cap,Unid BT Plus,446070 KS,446070.KS,Basic Materials,Korea,Asia Pacific,DM,Deletion(SC),(1.2),(0.2),0.5
