,Index Family,Name,BBG Ticker,RIC,Industry,Country,Region,Market,Event,Est. Passive Flows (USDmm),Est. Shares (mm),Total EDT
44,Small Cap,Channel Well Technology,3078 TT,3078.TWO,Technology,Taiwan,Asia Pacific,EM,Addition(SC),17.0,7.0,0.4
45,Small Cap,Rainbow Robotics,277810 KS,277810.KQ,Industrials,Korea,Asia Pacific,DM,Addition(SC),16.4,0.2,1.0
46,All World,Brown-Forman 'A',BF/A US,BFa.N,Consumer Staples,USA,Americas,DM,Addition(AW),16.4,0.2,1.8
47,Small Cap,Latin Resources,LRS AU,LRS.AX,Basic Materials,Australia,Asia Pacific,DM,Addition(SC),16.0,66.5,1.7
48,Small Cap,Ftai Aviation,FTAI US,FTAI.OQ,Industrials,USA,Americas,DM,Addition(SC),15.6,0.5,0.3
49,Small Cap,Isc,095340 KS,095340.KQ,Technology,Korea,Asia Pacific,DM,Addition(SC),15.3,0.3,0.6
50,Small Cap,Sbi Sumishin Net Bank,7163 JP,7163.T,Financials,Japan,Asia Pacific,DM,Addition(SC),15.3,1.4,0.9
51,Small Cap,Cettire,CTT AU,CTT.AX,Consumer Discretionary,Australia,Asia Pacific,DM,Addition(SC),14.9,6.3,2.2
52,Small Cap,Classys,214150 KS,214150.KQ,Health Care,Korea,Asia Pacific,DM,Addition(SC),14.5,0.6,1.3
53,Small Cap,Joby Aviation A,JOBY US,JOBY.N,Industrials,USA,Americas,DM,Addition(SC),14.4,1.4,0.1
54,Small Cap,Gms,GMS US,GMS.N,Industrials,USA,Americas,DM,Addition(SC),14.3,0.2,0.3
55,Small Cap,Roivant Sciences,ROIV US,ROIV.OQ,Health Care,USA,Americas,DM,Addition(SC),13.9,1.2,0.1
56,Small Cap,Tidewater,TDW US,TDW.N,Energy,USA,Americas,DM,Addition(SC),13.8,0.2,0.2
57,Small Cap,Alpha Hpa,A4N AU,A4N.AX,Basic Materials,Australia,Asia Pacific,DM,Addition(SC),13.4,16.7,6.7
58,Small Cap,Enplus,074610 KS,074610.KS,Industrials,Korea,Asia Pacific,DM,Addition(SC),13.3,1.9,0.8
59,Small Cap,Hertz Global Hldgs,HTZ US,HTZ.OQ,Consumer Discretionary,USA,Americas,DM,Addition(SC),12.5,0.7,0.2
60,Small Cap,Krystal Biotech,KRYS US,KRYS.OQ,Health Care,USA,Americas,DM,Addition(SC),12.5,0.1,0.3
61,Small Cap,Ionos Group N,IOS GR,IOSn.F,Technology,Germany,EMEA,DM,Addition(SC),10.7,0.7,7.7
62,All World,Cenergy Holdings (Ath),CENER GA,CENEr.AT,Industrials,Greece,EMEA,EM,Addition(AW),10.3,1.5,8.5
63,Small Cap,Amphastar Pharms.,AMPH US,AMPH.OQ,Health Care,USA,Americas,DM,Addition(SC),10.3,0.2,0.4
64,Small Cap,Eik Fasteignafelag,EIK IR,EIKF.IC,Real Estate,Iceland,EMEA,EM,Addition(SC),9.0,100.8,32.9
65,Small Cap,Rocket Lab Usa,RKLB US,RKLB.OQ,Industrials,USA,Americas,DM,Addition(SC),8.4,1.4,0.3
66,Small Cap,Yamae Group Holdings,7130 JP,7130.T,Consumer Staples,Japan,Asia Pacific,DM,Addition(SC),8.3,0.4,3.5
67,Small Cap,Nomura Micro Science,6254 JP,6254.T,Industrials,Japan,Asia Pacific,DM,Addition(SC),8.0,0.2,1.8
68,Small Cap,Remitly Global,RELY US,RELY.OQ,Industrials,USA,Americas,DM,Addition(SC),8.0,0.4,0.5
69,Small Cap,Braze A,BRZE US,BRZE.OQ,Technology,USA,Americas,DM,Addition(SC),7.4,0.2,0.1
70,Small Cap,Epsilon Net,EPSIL GA,EPSr.AT,Technology,Greece,EMEA,EM,Addition(SC),7.4,0.7,11.8
71,Small Cap,Squarespace A,SQSP US,SQSP.N,Technology,USA,Americas,DM,Addition(SC),7.0,0.2,0.2
72,Small Cap,Fluence Energy A,FLNC US,FLNC.OQ,Energy,USA,Americas,DM,Addition(SC),5.3,0.2,0.2
