,Index Family,Name,BBG Ticker,RIC,Industry,Country,Region,Market,Event,Est. Passive Flows (USDmm),Est. Shares (mm),Total EDT
41,Small Cap,Medinet Nasr Housing & Development Co.,MNHD EY,MNHD.CA,Real Estate,Egypt,EMEA,EM,Deletion(SC),(4.4),(40.1),8.6
42,Small Cap,CryoPort Inc.,CYRX US,CYRX.OQ,Industrials,USA,Americas,DM,Deletion(SC),(4.1),(0.2),0.3
43,Small Cap,WIZ CO,WIZC3 BZ,WIZC3.SA,Financials,Brazil,Americas,EM,Deletion(SC),(4.1),(3.1),4.3
44,Small Cap,Novavax,NVAX US,NVAX.OQ,Health Care,USA,Americas,DM,Deletion(SC),(4.0),(0.4),0.1
45,Small Cap,Multilaser Industrial,MLAS3 BZ,MLAS3.SA,Consumer Discretionary,Brazil,Americas,EM,Deletion(SC),(4.0),(6.8),2.2
46,Small Cap,Deluxe Corp,DLX US,DLX.N,Industrials,USA,Americas,DM,Deletion(SC),(4.0),(0.2),0.9
47,Small Cap,Emira Property Fund,EMI SJ,EMIJ.J,Real Estate,South Africa,EMEA,EM,Deletion(SC),(4.0),(8.6),10.5
48,Small Cap,Brookline Bancorp Inc,BRKL US,BRKL.OQ,Financials,USA,Americas,DM,Deletion(SC),(4.0),(0.4),0.8
49,Small Cap,Brandywine Rlty,BDN US,BDN.N,Real Estate,USA,Americas,DM,Deletion(SC),(3.9),(0.8),0.3
50,Small Cap,Meliuz,CASH3 BZ,CASH3.SA,Technology,Brazil,Americas,EM,Deletion(SC),(3.8),(2.6),1.2
51,Small Cap,Anywhere Real Estate Inc,HOUS US,HOUS.N,Real Estate,USA,Americas,DM,Deletion(SC),(3.7),(0.5),0.5
52,Small Cap,ScanSource,SCSC US,SCSC.OQ,Technology,USA,Americas,DM,Deletion(SC),(3.7),(0.1),1.0
53,Small Cap,Blue Label Telecoms Ltd.,BLU SJ,BLUJ.J,Telecommunications,South Africa,EMEA,EM,Deletion(SC),(3.6),(19.0),31.7
54,Small Cap,Hudson Pacific Properties,HPP US,HPP.N,Real Estate,USA,Americas,DM,Deletion(SC),(3.6),(0.7),0.1
55,Small Cap,Gray Television Inc,GTN US,GTN.N,Consumer Discretionary,USA,Americas,DM,Deletion(SC),(3.6),(0.4),0.4
56,Small Cap,Redwood Trust,RWT US,RWT.N,Financials,USA,Americas,DM,Deletion(SC),(3.6),(0.6),0.5
57,Small Cap,Eagle Bancorp,EGBN US,EGBN.OQ,Financials,USA,Americas,DM,Deletion(SC),(3.5),(0.2),0.4
58,Small Cap,KWG Living Group Holdings (P Chip),3913 HK,3913.HK,Real Estate,China,Asia Pacific,EM,Deletion(SC),(3.5),(32.0),4.6
59,Small Cap,Shanghai Fudan-Zhangjiang Bio-Pharmaceutical (H),1349 HK,1349.HK,Health Care,China,Asia Pacific,EM,Deletion(SC),(3.5),(10.3),35.9
60,Small Cap,BigCommerce Holdings,BIGC US,BIGC.OQ,Technology,USA,Americas,DM,Deletion(SC),(3.4),(0.3),0.4
61,Small Cap,Kaman,KAMN US,KAMN.N,Industrials,USA,Americas,DM,Deletion(SC),(3.4),(0.1),0.9
62,Small Cap,Summit Hotel Properties,INN US,INN.N,Real Estate,USA,Americas,DM,Deletion(SC),(3.4),(0.5),0.5
63,Small Cap,Consensus Cloud Solutions,CCSI US,CCSI.OQ,Technology,USA,Americas,DM,Deletion(SC),(3.3),(0.1),0.5
64,Small Cap,Trinseo PLC,TSE US,TSE.N,Industrials,USA,Americas,DM,Deletion(SC),(3.2),(0.2),0.3
65,Small Cap,Editas Medicine,EDIT US,EDIT.OQ,Health Care,USA,Americas,DM,Deletion(SC),(3.1),(0.3),0.1
66,Small Cap,Universal Health Rlty Income,UHT US,UHT.N,Real Estate,USA,Americas,DM,Deletion(SC),(3.1),(0.1),1.1
67,Small Cap,Enhabit Inc,EHAB US,EHAB.N,Health Care,USA,Americas,DM,Deletion(SC),(3.1),(0.2),0.2
68,Small Cap,ORPEA,ORP FP,ORP.PA,Health Care,France,EMEA,DM,Deletion(SC),(3.1),(1.5),0.6
69,Small Cap,Theravance Biopharma,TBPH US,TBPH.OQ,Health Care,USA,Americas,DM,Deletion(SC),(3.0),(0.3),0.5
70,Small Cap,Hanil Holdings,003300 KS,003300.KS,Industrials,Korea,Asia Pacific,DM,Deletion(SC),(3.0),(0.3),39.1
71,Small Cap,Hanjin Heavy Industries & Construction,097230 KS,097230.KS,Industrials,Korea,Asia Pacific,DM,Deletion(SC),(2.9),(0.8),4.6
72,Small Cap,Scripps (E.W) Class A,SSP US,SSP.OQ,Consumer Discretionary,USA,Americas,DM,Deletion(SC),(2.9),(0.3),0.6
73,Small Cap,Community Tst,CTBI US,CTBI.OQ,Financials,USA,Americas,DM,Deletion(SC),(2.8),(0.1),1.6
74,Small Cap,Toung Loong Textile Manufacturing,4401 TT,4401.TWO,Basic Materials,Taiwan,Asia Pacific,EM,Deletion(SC),(2.8),(3.5),55.7
75,Small Cap,BRPR Corporate Offices Fundo de Investimento Imobiliario,BROF11 BZ,BROF11.SA,Real Estate,Brazil,Americas,EM,Deletion(SC),(2.7),(0.2),6.7
76,Small Cap,CAREDX INC,CDNA US,CDNA.OQ,Health Care,USA,Americas,DM,Deletion(SC),(2.7),(0.3),0.2
77,Small Cap,Pacific Edge Ltd,PEB NZ,PEB.NZ,Health Care,New Zealand,Asia Pacific,DM,Deletion(SC),(2.7),(21.5),7.8
78,Small Cap,TrueBlue,TBI US,TBI.N,Industrials,USA,Americas,DM,Deletion(SC),(2.7),(0.2),0.7
79,Small Cap,American Well,AMWL US,AMWL.N,Health Care,USA,Americas,DM,Deletion(SC),(2.7),(1.2),1.0
80,Small Cap,Starpharma Holdings,SPL AU,SPL.AX,Health Care,Australia,Asia Pacific,DM,Deletion(SC),(2.6),(12.2),20.5
81,Small Cap,Betmakers Technology Group,BET AU,BET.AX,Consumer Discretionary,Australia,Asia Pacific,DM,Deletion(SC),(2.6),(22.8),4.7
82,Small Cap,Allot Ltd,ALLT IT,ALLT.TA,Technology,Israel,EMEA,DM,Deletion(SC),(2.6),(0.8),86.5
83,Small Cap,Times China Holdings (P Chip),1233 HK,1233.HK,Real Estate,China,Asia Pacific,EM,Deletion(SC),(2.6),(32.3),39.7
84,Small Cap,Hong Seng Consolidated,HONGSENG MK,HONG.KL,Health Care,Malaysia,Asia Pacific,EM,Deletion(SC),(2.5),(135.5),57.4
85,Small Cap,UNIQURE NV,QURE US,QURE.OQ,Health Care,USA,Americas,DM,Deletion(SC),(2.5),(0.2),0.1
86,Small Cap,Yuzhou Group Holdings (P Chip),1628 HK,1628.HK,Real Estate,China,Asia Pacific,EM,Deletion(SC),(2.5),(85.4),>100
87,Small Cap,Krakatau Steel Tbk PT,KRAS IJ,KRAS.JK,Basic Materials,Indonesia,Asia Pacific,EM,Deletion(SC),(2.4),(154.8),14.7
88,Small Cap,Allogene Therapeutics,ALLO US,ALLO.OQ,Health Care,USA,Americas,DM,Deletion(SC),(2.4),(0.4),0.1
89,Small Cap,Washington Trust Bancorp,WASH US,WASH.OQ,Financials,USA,Americas,DM,Deletion(SC),(2.3),(0.1),0.6
90,Small Cap,Klab,3656 JP,3656.T,Consumer Discretionary,Japan,Asia Pacific,DM,Deletion(SC),(2.2),(1.0),1.3
91,Small Cap,Century Aluminium,CENX US,CENX.OQ,Basic Materials,USA,Americas,DM,Deletion(SC),(2.2),(0.3),0.2
92,Small Cap,GeneReach Biotechnology,4171 TT,4171.TWO,Health Care,Taiwan,Asia Pacific,EM,Deletion(SC),(2.2),(1.3),8.3
93,Small Cap,iHeartMedia,IHRT US,IHRT.OQ,Consumer Discretionary,USA,Americas,DM,Deletion(SC),(2.1),(0.5),0.3
94,Small Cap,OCI International Holdings,329 HK,0329.HK,Health Care,Hong Kong,Asia Pacific,DM,Deletion(SC),(2.1),(28.8),>100
95,Small Cap,Glory Sun Financial Group,1282 HK,1282.HK,Technology,Hong Kong,Asia Pacific,DM,Deletion(SC),(2.1),(56.4),18.4
96,Small Cap,Kearny Financial,KRNY US,KRNY.OQ,Financials,USA,Americas,DM,Deletion(SC),(2.1),(0.3),1.1
97,All World,Controladora Axtel,CTAXTELA MM,CTAXTELA.MX,Telecommunications,Mexico,Americas,EM,Deletion(AW),(2.1),(145.1),12.0
98,Small Cap,Fate Therapeutics Inc,FATE US,FATE.OQ,Health Care,USA,Americas,DM,Deletion(SC),(2.1),(0.4),0.2
99,Small Cap,Lock & Lock Co. Ltd.,115390 KS,115390.KS,Consumer Discretionary,Korea,Asia Pacific,DM,Deletion(SC),(2.1),(0.4),10.1
100,Small Cap,Taeyoung Engineering & Construction,009410 KS,009410.KS,Industrials,Korea,Asia Pacific,DM,Deletion(SC),(2.0),(0.7),5.1
101,Small Cap,ALECTOR,ALEC US,ALEC.OQ,Health Care,USA,Americas,DM,Deletion(SC),(2.0),(0.3),0.5
102,Small Cap,Qurate Retail,QRTEA US,QRTEA.OQ,Consumer Discretionary,USA,Americas,DM,Deletion(SC),(2.0),(1.7),0.1
103,Small Cap,Enanta Pharmaceuticals Inc,ENTA US,ENTA.OQ,Health Care,USA,Americas,DM,Deletion(SC),(1.9),(0.1),0.4
104,Small Cap,Enviva Inc,EVA US,EVA.N,Energy,USA,Americas,DM,Deletion(SC),(1.9),(0.2),0.1
105,Small Cap,JW (Cayman) Therapeutics,2126 HK,2126.HK,Health Care,Hong Kong,Asia Pacific,DM,Deletion(SC),(1.9),(6.0),14.8
106,Small Cap,Office Properties Income Trust,OPI US,OPI.OQ,Real Estate,USA,Americas,DM,Deletion(SC),(1.9),(0.2),0.3
107,Small Cap,V-Cube,3681 JP,3681.T,Technology,Japan,Asia Pacific,DM,Deletion(SC),(1.9),(0.6),1.7
108,Small Cap,Paysafe Limited (A),PSFE US,PSFE.N,Industrials,USA,Americas,DM,Deletion(SC),(1.9),(0.2),0.3
109,Small Cap,Republic Bancorp,RBCAA US,RBCAA.OQ,Financials,USA,Americas,DM,Deletion(SC),(1.9),(0.0),1.8
110,Small Cap,Forrester Research,FORR US,FORR.OQ,Industrials,USA,Americas,DM,Deletion(SC),(1.8),(0.1),0.8
111,Small Cap,Antengene,6996 HK,6996.HK,Health Care,Hong Kong,Asia Pacific,DM,Deletion(SC),(1.7),(8.9),6.4
112,Small Cap,Liveperson Inc,LPSN US,LPSN.OQ,Technology,USA,Americas,DM,Deletion(SC),(1.6),(0.3),0.1
113,Small Cap,CMBC Capital Holdings,1141 HK,1141.HK,Industrials,Hong Kong,Asia Pacific,DM,Deletion(SC),(1.6),(11.3),27.9
114,Small Cap,Kernel Holding,KER PW,KER.WA,Consumer Staples,Poland,EMEA,DM,Deletion(SC),(1.6),(0.5),7.8
115,Small Cap,AMA Group,AMA AU,AMA.AX,Consumer Discretionary,Australia,Asia Pacific,DM,Deletion(SC),(1.5),(21.7),9.1
116,Small Cap,Daesung Holdings Co. Ltd.,016710 KS,016710.KS,Utilities,Korea,Asia Pacific,DM,Deletion(SC),(1.5),(0.1),1.1
117,Small Cap,Differ Gp Auto (P Chip),6878 HK,6878.HK,Real Estate,China,Asia Pacific,EM,Deletion(SC),(1.2),(121.2),0.2
118,Small Cap,Consus Enerji Isletmeciligi Ve Hizmetleri As,CONSE TI,CONSE.IS,Utilities,Turkey,EMEA,EM,Deletion(SC),(1.2),(4.5),0.6
119,Small Cap,FibroGen,FGEN US,FGEN.OQ,Health Care,USA,Americas,DM,Deletion(SC),(1.2),(0.4),0.1
120,Small Cap,Dubber,DUB AU,DUB.AX,Technology,Australia,Asia Pacific,DM,Deletion(SC),(1.1),(8.3),6.8
121,Small Cap,Star Holdings,STHO US,STHO.OQ,Real Estate,USA,Americas,DM,Deletion(SC),(1.0),(0.1),0.6
122,Small Cap,BR Properties SA ON,BRPR3 BZ,BRPR3.SA,Real Estate,Brazil,Americas,EM,Deletion(SC),(0.9),(0.0),0.5
123,All World,Yango Group (A) (SC SZ),000671 C2,000671.ZK,Real Estate,China A,Asia Pacific,EM,Deletion(AW),(0.4),(7.2),NA
124,Small Cap,WeWork Inc (A),WE US,WE.N,Real Estate,USA,Americas,DM,Deletion(SC),(0.3),(1.1),0.1
